PERMNO,date,TICKER,COMNAM,NAICS,CUSIP,PRC
59459,31/03/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,59.48
59459,29/04/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,63.28
59459,31/05/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,62.08
59459,30/06/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,58.38
59459,29/07/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,55.13
59459,31/08/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,50.46
59459,30/09/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,48.73
59459,31/10/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,58.35
59459,30/11/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,56.25
59459,30/12/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,59.17
59459,31/01/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,58.3
59459,29/02/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,57.97
59459,30/03/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,59.2
59459,30/04/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,64.32
59459,31/05/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,62.49
59459,29/06/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,63.84
59459,31/07/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,62.65
59459,31/08/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,64.74
59459,28/09/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,68.26
59459,31/10/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,70.94
59459,30/11/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,70.82
59459,31/12/2012,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,71.82
59459,31/01/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,78.46
59459,28/02/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,80.42
59459,28/03/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,84.19
59459,30/04/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,85.41
59459,31/05/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,83.72
59459,28/06/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,79.92
59459,31/07/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,83.55
59459,30/08/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,79.9
59459,30/09/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,84.77
59459,31/10/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,86.3
59459,29/11/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,90.74
59459,31/12/2013,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,90.54
59459,31/01/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,81.28
59459,28/02/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,83.84
59459,31/03/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,85.1
59459,30/04/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,90.58
59459,30/05/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,93.45
59459,30/06/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,94.07
59459,31/07/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,89.56
59459,29/08/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,94.71
59459,30/09/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,93.94
59459,31/10/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,100.8
59459,28/11/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,104.45
59459,31/12/2014,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,105.85
59459,30/01/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,102.82
59459,27/02/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,107.44
59459,31/03/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,108.13
59459,30/04/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,101.11
59459,29/05/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,101.12
59459,30/06/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,96.66
59459,31/07/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,106.12
59459,31/08/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,99.55
59459,30/09/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,99.53
59459,30/10/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,112.89
59459,30/11/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,114.57
59459,31/12/2015,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,112.86
59459,29/01/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,107.04
59459,29/02/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,107.52
59459,31/03/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,116.71
59459,29/04/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,109.9
